Wall time,Step,Value
1692954921.2365317,0,0.0989849716424942
1692954935.8073075,1,0.09816575795412064
1692954949.9964337,2,0.09602781385183334
1692954964.3062139,3,0.10048353672027588
1692954977.9313755,4,0.09830562770366669
1692954991.6613686,5,0.09880514442920685
1692955005.2899745,6,0.09764625877141953
1692955019.1715915,7,0.0992247462272644
1692955033.1166146,8,0.10088314861059189
1692955046.7957354,9,0.09964434057474136
1692955060.41952,10,0.10304108262062073
1692955073.9864416,11,0.11129315942525864
1692955087.5987413,12,0.2393302470445633
1692955101.5779238,13,0.35158246755599976
1692955115.5177755,14,0.4427349865436554
1692955129.495177,15,0.5586037635803223
1692955143.496932,16,0.6512947678565979
1692955157.3282995,17,0.7133551836013794
1692955171.2281983,18,0.7651054859161377
1692955185.2075698,19,0.8065057396888733
1692955199.1572697,20,0.8431905508041382
1692955213.0133832,21,0.8728820085525513
1692955226.7949347,22,0.8945811986923218
1692955240.6601708,23,0.9160605669021606
1692955254.1881013,24,0.9354419708251953
1692955267.8270588,25,0.9452725648880005
1692955281.3567364,26,0.95652174949646
1692955295.0848186,27,0.9649536609649658
1692955308.886603,28,0.9694693088531494
1692955322.758613,29,0.975263774394989
1692955336.5816715,30,0.9771819114685059
1692955350.4876378,31,0.9809383153915405
1692955364.4332685,32,0.9824768304824829
1692955378.426597,33,0.9847946166992188
1692955392.346854,34,0.9848145842552185
1692955406.2699106,35,0.9889506101608276
1692955420.204511,36,0.9895899891853333
1692955434.1690116,37,0.9903692603111267
1692955448.2628012,38,0.99388587474823
1692955461.9209719,39,0.9918278455734253
1692955475.499417,40,0.9981018304824829
1692955489.121117,41,0.9999600648880005
1692955502.625105,42,1.0
1692955516.1930473,43,1.0
1692955529.862537,44,1.0
1692955543.5344255,45,1.0
1692955557.2725677,46,1.0
1692955570.972477,47,1.0
1692955584.8747416,48,1.0
1692955598.6109676,49,1.0
1692955612.4530473,50,1.0
1692955626.498774,51,1.0
1692955640.4495726,52,1.0
1692955654.3753927,53,1.0
1692955668.4055214,54,1.0
1692955682.371742,55,1.0
1692955696.1949754,56,1.0
1692955709.7313535,57,1.0
1692955723.368904,58,1.0
1692955736.8537693,59,1.0
1692955750.510645,60,1.0
1692955764.1330004,61,1.0
1692955777.6985943,62,1.0
1692955791.496849,63,1.0
1692955805.4977424,64,1.0
1692955819.3464978,65,1.0
1692955833.2034106,66,1.0
1692955847.0101762,67,1.0
1692955860.8971093,68,1.0
1692955874.799521,69,1.0
1692955888.6741016,70,1.0
1692955902.3813775,71,1.0
1692955916.304678,72,1.0
1692955930.165233,73,1.0
1692955943.7347262,74,1.0
1692955957.628604,75,1.0
1692955971.224719,76,1.0
1692955985.0271757,77,1.0
1692955998.5352814,78,1.0
1692956012.0852077,79,1.0
1692956025.768623,80,1.0
1692956039.4967823,81,1.0
1692956053.184637,82,1.0
1692956067.0261574,83,1.0
1692956080.803046,84,1.0
1692956094.4934692,85,1.0
1692956108.111334,86,1.0
1692956121.732401,87,1.0
1692956135.669806,88,1.0
1692956149.401295,89,1.0
1692956163.2613432,90,1.0
1692956176.8552792,91,1.0
1692956190.5620944,92,1.0
1692956204.2864485,93,1.0
1692956218.0318854,94,1.0
1692956231.5747283,95,1.0
1692956245.1586235,96,1.0
1692956258.7053666,97,1.0
1692956272.432427,98,1.0
1692956286.2133906,99,1.0
