Wall time,Step,Value
1692941918.7521892,0,0.0964873731136322
1692941931.0566075,1,0.09770619869232178
1692941943.3732579,2,0.09836556762456894
1692941955.7004035,3,0.09738650918006897
1692941968.0107784,4,0.10134270787239075
1692941980.2946477,5,0.09824568778276443
1692941992.5526638,6,0.09904491901397705
1692942004.8343506,7,0.09754635393619537
1692942017.1022582,8,0.09844549000263214
1692942029.4639814,9,0.09794597327709198
1692942041.7653663,10,0.0986253172159195
1692942054.0632472,11,0.10839594155550003
1692942066.3674316,12,0.18482257425785065
1692942078.6225638,13,0.29439738392829895
1692942090.886608,14,0.4049512445926666
1692942103.1495008,15,0.49784207344055176
1692942115.4299655,16,0.5826007127761841
1692942127.692389,17,0.6570292711257935
1692942139.9459784,18,0.7198289632797241
1692942152.1845877,19,0.7680227160453796
1692942164.4575014,20,0.8068254590034485
1692942176.7648668,21,0.840752899646759
1692942189.0788014,22,0.8694853186607361
1692942201.3735218,23,0.8947610259056091
1692942213.7110014,24,0.9117847084999084
1692942226.0206416,25,0.9286884665489197
1692942238.2775097,26,0.9412963390350342
1692942250.5227215,27,0.9535245895385742
1692942262.9256246,28,0.9626558423042297
1692942275.404882,29,0.9660326242446899
1692942287.8303394,30,0.9721866846084595
1692942300.371317,31,0.9757032990455627
1692942313.4234295,32,0.9783607721328735
1692942326.6868079,33,0.9801989793777466
1692942340.5712166,34,0.9837955832481384
1692942353.9992168,35,0.9839154481887817
1692942367.5675159,36,0.9862532019615173
1692942382.2303464,37,0.9882113337516785
1692942396.0556402,38,0.9919877052307129
1692942410.468239,39,0.9924672245979309
1692942424.68536,40,0.9909486770629883
1692942438.7387073,41,0.9894301295280457
1692942452.1203468,42,0.991707980632782
1692942465.6375,43,0.993006706237793
1692942479.2279706,44,0.9944453239440918
1692942492.4118445,45,0.9941456317901611
1692942505.8047302,46,0.9936660528182983
1692942519.3125834,47,0.993486225605011
1692942534.5660434,48,0.9945852160453796
1692942548.0911748,49,0.994365394115448
