Wall time,Step,Value
1692895053.9663756,0,2.303203582763672
1692895066.9981794,1,2.3030593395233154
1692895079.1889262,2,2.3030784130096436
1692895091.2275138,3,2.303060531616211
1692895103.2384717,4,2.303110361099243
1692895115.4249237,5,2.3030576705932617
1692895127.4196815,6,2.3030524253845215
1692895139.2961123,7,2.3030858039855957
1692895151.023117,8,2.30302357673645
1692895162.780703,9,2.3029866218566895
1692895174.497263,10,2.302954912185669
1692895186.2101386,11,2.3029229640960693
1692895197.9289937,12,2.302945375442505
1692895209.6900375,13,2.302713632583618
1692895221.4536688,14,2.2039036750793457
1692895233.2320538,15,1.9226263761520386
1692895245.0065548,16,1.775330662727356
1692895256.8155048,17,1.5874589681625366
1692895268.5864947,18,1.4232428073883057
1692895280.3458502,19,1.2529462575912476
1692895292.0999315,20,1.058179497718811
1692895303.899443,21,0.9005749821662903
1692895315.6441834,22,0.75164794921875
1692895327.5693884,23,0.6367380619049072
1692895339.3660593,24,0.5306434631347656
1692895351.142493,25,0.4329284727573395
1692895362.8844113,26,0.35598695278167725
1692895374.6559384,27,0.28377798199653625
1692895386.4008205,28,0.22666944563388824
1692895398.1385753,29,0.18447908759117126
1692895409.8617547,30,0.149077370762825
1692895421.6063695,31,0.12412786483764648
1692895433.8606417,32,0.10021570324897766
1692895446.0868988,33,0.08307871222496033
1692895458.134552,34,0.07010368257761002
1692895469.910576,35,0.05759207159280777
1692895481.9005454,36,0.054599031805992126
1692895493.6705825,37,0.04645621031522751
1692895505.5222647,38,0.03936954215168953
1692895518.131976,39,0.03605971857905388
1692895530.81039,40,0.03563414141535759
1692895543.7865984,41,0.026807943359017372
1692895557.8220625,42,0.028935234993696213
1692895571.1698372,43,0.025091974064707756
1692895584.6493568,44,0.022397657856345177
1692895598.3279777,45,0.020462550222873688
1692895610.9948843,46,0.023281054571270943
1692895623.1881213,47,0.01886214315891266
1692895635.4032016,48,0.015905551612377167
1692895650.1829996,49,0.018367554992437363
