Wall time,Step,Value
1693059860.6310148,0,0.09940457344055176
1693059873.9733741,1,0.0987452045083046
1693059887.796226,2,0.0991847813129425
1693059901.6423607,3,0.09950447827577591
1693059915.9987404,4,0.09978421032428741
1693059929.8120673,5,0.09972426295280457
1693059943.0114057,6,0.10022378712892532
1693059956.0826566,7,0.09876518696546555
1693059969.4392853,8,0.09814578294754028
1693059982.6398382,9,0.09744644910097122
1693059995.6517484,10,0.09864529967308044
1693060008.528917,11,0.09964434057474136
1693060021.8981571,12,0.09754635393619537
1693060034.995057,13,0.1013626903295517
1693060048.2632577,14,0.10523897409439087
1693060061.6581378,15,0.20282529294490814
1693060075.1756341,16,0.3085038363933563
1693060088.6485076,17,0.4140625
1693060102.0426955,18,0.52513587474823
1693060115.5035768,19,0.6222226619720459
1693060128.890639,20,0.697550356388092
1693060142.3837502,21,0.7528572678565979
1693060156.0098956,22,0.7991328239440918
1693060169.412192,23,0.8345588445663452
1693060182.565862,24,0.8644900918006897
1693060195.8432536,25,0.8930626511573792
1693060209.4202192,26,0.9139426350593567
1693060223.235345,27,0.9281290173530579
1693060236.4460902,28,0.9440537095069885
1693060249.7627244,29,0.9542838931083679
1693060263.307717,30,0.9647938013076782
1693060276.9114928,31,0.9697490334510803
1693060290.6237879,32,0.9720268249511719
1693060304.1108632,33,0.9769421219825745
1693060317.8250315,34,0.9796594977378845
1693060331.2904892,35,0.9837356209754944
1693060345.219713,36,0.9873321652412415
1693060358.8901215,37,0.9857137203216553
1693060372.343519,38,0.9871323704719543
1693060386.0466826,39,0.9911285042762756
1693060399.5242956,40,0.9898697137832642
1693060413.055938,41,0.989070475101471
1693060426.3668075,42,0.9919677376747131
1693060439.8096268,43,0.9904491901397705
1693060453.0052023,44,0.994765043258667
1693060466.488134,45,0.9921675324440002
1693060479.660507,46,0.9931265711784363
1693060492.8739438,47,0.9932664632797241
1693060506.1491566,48,0.9945852160453796
1693060519.2667868,49,0.9953444600105286
1693060532.8119245,50,0.9943054914474487
1693060546.3509982,51,0.9951246976852417
1693060559.8084915,52,0.995304524898529
1693060573.266318,53,0.9954643249511719
1693060587.027464,54,0.996463418006897
1693060601.1587665,55,0.9961636662483215
1693060615.5211148,56,0.997422456741333
1693060630.3715107,57,0.9949648380279541
1693060644.1910386,58,0.9962835907936096
1693060657.961613,59,0.9965433478355408
