Wall time,Step,Value
1693041601.9484231,0,2.303154468536377
1693041614.581159,1,2.30311918258667
1693041627.3144457,2,2.3029892444610596
1693041640.1489863,3,2.3030436038970947
1693041652.5577538,4,2.3030033111572266
1693041665.3698385,5,2.303105115890503
1693041677.9767203,6,2.303034782409668
1693041690.974001,7,2.3030550479888916
1693041703.9640324,8,2.302915334701538
1693041716.7476585,9,2.303130865097046
1693041730.2284944,10,2.3029251098632812
1693041743.8715053,11,2.3028557300567627
1693041757.380384,12,2.3001296520233154
1693041770.899188,13,1.956664800643921
1693041784.4651432,14,1.7342267036437988
1693041797.7572463,15,1.5197464227676392
1693041810.693405,16,1.353519320487976
1693041823.3241134,17,1.1308118104934692
1693041835.9322882,18,0.927112877368927
1693041848.2843676,19,0.7742544412612915
1693041860.6642673,20,0.6467354893684387
1693041872.9980893,21,0.5301766395568848
1693041885.3910947,22,0.4371427297592163
1693041897.739491,23,0.36206191778182983
1693041910.1074216,24,0.28944697976112366
1693041922.488581,25,0.23586298525333405
1693041934.8881655,26,0.18796324729919434
1693041947.2093601,27,0.1582735776901245
1693041959.519298,28,0.12399081140756607
1693041971.8536525,29,0.09553537517786026
1693041984.1751726,30,0.08347881585359573
1693041996.6260474,31,0.0730275884270668
1693042008.9733212,32,0.061511971056461334
1693042021.3402865,33,0.0521097369492054
1693042033.6948256,34,0.04304089397192001
1693042046.0769951,35,0.046681471168994904
1693042058.5178616,36,0.04247236251831055
1693042070.893817,37,0.03422887995839119
1693042083.301126,38,0.03800785169005394
1693042095.6334639,39,0.030071506276726723
1693042107.9748013,40,0.025089344009757042
1693042120.34202,41,0.028331369161605835
1693042132.7080812,42,0.021048497408628464
1693042145.1180243,43,0.02289474569261074
1693042157.5013676,44,0.020203744992613792
1693042169.8906846,45,0.02095026895403862
1693042182.2600555,46,0.01753198727965355
1693042194.6127844,47,0.017028646543622017
1693042206.9569178,48,0.016621926799416542
1693042219.288086,49,0.011927690356969833
1693042231.6265628,50,0.013123794458806515
1693042243.9377377,51,0.010588572360575199
1693042256.268627,52,0.012245040386915207
1693042268.6116817,53,0.014603162184357643
1693042280.9863205,54,0.01686578243970871
1693042293.3677967,55,0.013810205273330212
1693042305.723397,56,0.0063895536586642265
1693042318.0828357,57,0.014301389455795288
1693042330.4036582,58,0.01131442841142416
1693042342.7455976,59,0.010771476663649082
1693042355.093518,60,0.011157476343214512
1693042367.4540157,61,0.007630643900483847
1693042379.8099189,62,0.0051499344408512115
1693042392.1900089,63,0.007216779049485922
1693042404.569688,64,0.009607519954442978
1693042416.9291778,65,0.007813588716089725
1693042429.2731183,66,0.00872060563415289
1693042441.665287,67,0.011496410705149174
1693042454.3530853,68,0.008682053536176682
1693042466.7196667,69,0.006772664375603199
1693042479.0523052,70,0.0018200344638898969
1693042491.3627858,71,0.013300265185534954
1693042503.6853032,72,0.007687272038310766
1693042516.0379226,73,0.005448693409562111
1693042528.4038405,74,0.007484333589673042
1693042540.740217,75,0.005565501283854246
1693042553.1388662,76,0.003126035677269101
1693042565.5015738,77,0.0090553667396307
1693042577.8283317,78,0.007307996973395348
1693042590.1531782,79,0.0011483043199405074
1693042602.5152266,80,0.00715171592310071
1693042614.8722215,81,0.009069599211215973
1693042627.2536042,82,0.003774565877392888
1693042639.6163418,83,0.004584094043821096
1693042652.0143347,84,0.006954871118068695
1693042664.3792195,85,0.005678030662238598
1693042676.705446,86,0.004875177517533302
1693042689.0291576,87,0.005783891770988703
1693042701.379679,88,0.004046569112688303
1693042713.7204309,89,0.005701288115233183
1693042726.0747797,90,0.005777220241725445
1693042738.4280703,91,0.005480538588017225
1693042750.815146,92,0.0012296310160309076
1693042763.1870651,93,0.002200458664447069
1693042775.553755,94,0.00014743866631761193
1693042787.951985,95,2.6255243938066997e-05
1693042800.3625867,96,1.6494781448272988e-05
1693042812.7007437,97,1.3145665434421971e-05
1693042825.0230432,98,1.1032208931283094e-05
1693042837.352927,99,9.556461918691639e-06
1693042849.6967862,100,8.44250462250784e-06
1693042862.0944552,101,7.5729217314801645e-06
1693042874.4555125,102,6.866614512546221e-06
1693042886.9399345,103,6.2864251049177255e-06
1693042899.2729893,104,5.785004759673029e-06
1693042911.6230607,105,5.365591277950443e-06
1693042924.0017207,106,4.999816155759618e-06
1693042936.3209605,107,4.682773578679189e-06
1693042948.6619494,108,4.406755579111632e-06
1693042960.991166,109,4.145631464780308e-06
1693042973.3291752,110,3.925455985154258e-06
1693042985.6526713,111,3.720936547324527e-06
1693042997.972894,112,3.5422926885075867e-06
1693043010.2857618,113,3.374201924088993e-06
1693043022.626266,114,3.2249984087684425e-06
1693043034.9697194,115,3.0854605483909836e-06
1693043047.2619674,116,2.967827413158375e-06
1693043059.5863445,117,2.8382803520798916e-06
1693043071.936296,118,2.7296100597595796e-06
1693043084.3220904,119,2.6283030365448212e-06
1693043096.6590004,120,2.535200792408432e-06
1693043109.033872,121,2.4459202450088924e-06
1693043121.3832233,122,2.363684188821935e-06
1693043133.736182,123,2.289469875904615e-06
1693043146.0889175,124,2.2153287773107877e-06
1693043158.456965,125,2.1469081730174366e-06
1693043170.7874625,126,2.0821596535824938e-06
1693043183.1187358,127,2.0223105821060017e-06
1693043195.4408634,128,1.9669100765895564e-06
1693043207.782549,129,1.910921128001064e-06
1693043220.1308086,130,1.8594500943436287e-06
1693043232.4972508,131,1.8104133232554886e-06
1693043244.868914,132,1.769576670085371e-06
1693043257.2285044,133,1.7201009541167878e-06
1693043269.576879,134,1.6791425423434703e-06
1693043282.1476865,135,1.640318259887863e-06
1693043294.6653254,136,1.6014506627470837e-06
