Wall time,Step,Value
1692935062.7977495,0,0.23137786984443665
1692935088.91355,1,0.4364010691642761
1692935114.3803086,2,0.5797234773635864
1692935140.8101976,3,0.6588475108146667
1692935166.7420027,4,0.7093589901924133
1692935192.3046215,5,0.7458239793777466
1692935218.589437,6,0.7825087904930115
1692935244.377836,7,0.8102421760559082
1692935270.6154869,8,0.8343190550804138
1692935297.1249306,9,0.8565376996994019
1692935324.119569,10,0.878936231136322
1692935351.034226,11,0.8951806426048279
1692935378.4097147,12,0.9059702754020691
1692935405.1809654,13,0.9211956262588501
1692935431.30981,14,0.9279691576957703
1692935457.1530352,15,0.9337036609649658
1692935483.6964333,16,0.9395580291748047
1692935510.1618705,17,0.9480898380279541
1692935537.0286534,18,0.9511668682098389
1692935563.081961,19,0.9541839957237244
1692935588.80367,20,0.9568414092063904
1692935614.8230996,21,0.9559623003005981
1692935640.921153,22,0.9593190550804138
1692935666.2062516,23,0.9632353186607361
1692935690.826845,24,0.9650535583496094
1692935716.1764874,25,0.9622562527656555
1692935742.1342516,26,0.9660126566886902
1692935769.2731464,27,0.9692894816398621
1692935798.5626123,28,0.9698688983917236
1692935828.271072,29,0.9648537635803223
1692935857.9113495,30,0.9702885150909424
1692935887.728414,31,0.9687300324440002
1692935916.437585,32,0.9649336934089661
1692935945.9667106,33,0.9736453294754028
1692935974.6330144,34,0.979619562625885
1692936002.9572017,35,0.9737651944160461
1692936030.7668195,36,0.9765824675559998
1692936060.8314219,37,0.9771619439125061
1692936088.2073374,38,0.9642543196678162
1692936117.3971617,39,0.9769821166992188
1692936147.678751,40,0.9797993898391724
1692936177.9110475,41,0.9724664092063904
1692936207.503005,42,0.9485294222831726
1692936236.508237,43,0.9820572137832642
1692936267.284449,44,0.9853140711784363
1692936295.6121445,45,0.9102461934089661
1692936323.6161764,46,0.98267662525177
1692936350.6871061,47,0.9855139255523682
1692936379.443387,48,0.9787803888320923
1692936406.6731265,49,0.9837555885314941
